Dwarf	Small, quiet digging machine.
Grubb	Swarm of puke-green grubs that eat their way through the Wall.
Hammer	Glowing red hammer.
Jackhammer	Glowing red jackhammer, which fires a stream of white hot energy bolts at the Data Wall.
Jap Water Torture	Tiny, random drops of glowing "water" strike the Wall, causing ripples.
Pile Driver	Steam-powered pile driver on the verge of blowing up.
Portal	Metallic door that slowly meshes with the Data Wall then swings open for the Netrunner.
Ramming Piston	Huge nuclear powered battering ram, as drawn by Jack Kirby.
Sledgehammer	Glowing white Sledgehammer.
Termite	Brown, fist-sized, fractal insect with bright blue eyes. Emits low-pitched bleeps as it burrows into Wall.
Worm	Gold-metal, robotic worm, with green neon eyes.

Codecracker	Thin beam of white light, which shoots from the Netrunner's hands and spreads through the Code Gate.
Cyfermaster	Fractal image of a man floating in lotus position.
Dupre	Elegant middle-aged Victorian. He speaks to the locked Gate, and takes notes as he does so.
Raffles	Dapper young man wearing evening clothes of the 1990's. He speaks to the door then vanishes.
Tinweasel	Shifty-eyed character with an insincere smile.
Wizard's Book	Stream of blazing white symbols, flowing at incredible speed from the Netrunner's open hand.

Bloodhound	Large, gun-metal grey hound. It has glowing blue eyes and wears a thick circlet of blue neon.
Bulldog	Short, burly humanoid in metal armour. A glowing visor is situated above snarling, canine jaws.
Canis Major/Minor	Large steel statue of a dog/a computerised chihuahua.
Cry Baby	None until activated, then it appears as a baby, hanging around the Netrunner's neck, screaming.
Clairvoyance	The eyes of the Netrunner's icon glow fiery blue, or a pair of glowing eyes appear if the icon has none.
Data Raven	Metal-plated black bird.
Fang	Glowing green pit bull.
Fang 2.0	Robotic pit bull with a red head.
Fetch 4.01.1	Chrome greyhound with glowing blue collar.
Guard-Dog	Detected it appears as a standard Bloodhound, other wise it is a slight flicker at the periphery of vision.
Hidden Virtue	Glowing green ring which the Netrunner looks through.
Hunter	Hound head lunging down the target's line.
Looking Glass	Series of mirrors appears in front of the Netrunner, passing over and through the target icon.
Mouse	Small, innocuous mouse.
Netspace Inverter	Flying eyeball; turns invisible when activated.
Pit Bull	Short, heavily built, steel dog. It has glowing red eyes and wears a circlet of red neon.
Rex	Rather nasty, metal plated dog with really big teeth.
See Ya	Shimmering silver screen.
Shadow	Netrunner's icon gains a long, humanoid shadow.
Smarteye	Spinning crystal ball; the ball stops and the appropriate icon appears within.
Speedtrap	Flat, glowing plate of glass, in which images appear.
Watchdog	Large, black, metal dog. It has glowing red eyes and a spiked metal collar.

Asp	Glowing golden snake.
Cascade	Shower of random neon-coloured pods & capsules sprays the target's icon and are absorbed on contact.
Cascade II	Floating ball of energy.
Clown	Annoying, loud, obnoxious, white-faced circus clown, complete with slapstick, seltzer bottle, pies, etc.
DecKRASH	Cartoon stick of dynamite with fuse.
Feedback	Beam of orange neon which shoots from the Netrunner's fingertips.
Flatline	Beam of yellow neon which shoots from the Netrunner's fingertips.
Fragmentation Storm	Huge white electrical arc that strikes the target and follows his line back to his deck.
Grid Wave	Black sphere with twisting light waves surrounding it.
HellBurner	Giant, disembodied fist which burns with blue, fractal fire, grabs onto target, engulfing it in blue flames.
Krash	Large, cartoon anarchist bomb, with a sizzling fuse.
Murphy	You never know...
Pi in the Face	Large cartoon pie, for throwing.
Poison Flatline	Beam of green neon which launches from the Netrunner's fingertips.
Poltergeist	Random flashes of energy from everywhere, wiping data and files.
Pox	Floating ball of energy that explodes into a wash of sickly coloured globules.
Scatter Shot	Shotgun shooting fractal shot.
Swarm	Cartoon-y bee that flies towards a CPU, stinging it.
Typhoid Mary	Female Killer robot.
Weed	Tangled weeds growing on the icon of the system's CPU(s).
Vacuum	Series of hexagonal frames that suck the 'runner's Icon out of the data fort.
Virizz	Glittering DNA shape made of lights and neon.
Viral 15	Swirling metallic blue fog with a white neon DNA helix embedded in the centre.

Black Mask	Anything programmed into it.
Cloak	Makes the user's Icon invisible.
Domino	Depends on the data fort.
George	Cartoon signpost with signs pointing in all directions.
Invisibility	Flickering, iridescent sheet, which drapes over the Netrunner.
Open-Ended Mileage	Blue sphere surrounded by two stylized lightning bolts.
Rabbit	Fractal rabbit going like the blazes. Also Bugs Bunny variants around.
Replicator	Chrome sphere creating millions of holographic images of the Netrunner.
Signpost	Signpost with signs pointing in all directions.
Silhouette	Looks as it the Netrunner has jacked out.
Spore	Each spore looks like a small mote of light.
Stealth	Sheet of black energy draped over the Netrunner's Icon.
Superballs	Thousands of primary-coloured rubber balls bouncing around target's square, as if in a glass cube.
Vewy Vewy Quiet	The 'runner makes no sound and turns translucent.

Armor	Glowing golden armor in a high tech design.
DeckShield One	Deck's data fort/position in netspace is sheathed in fractal armor-plating.
Flak	Cloud of blinding, glowing, multicoloured lights, swirling in all directions.
Force Shield	Flickering silver energy barrier.
Joan of Arc	Woman's face that grimaces in pain.
OutJack	None. 
Reflector	Flare of blue green light, coalescing into a mirrored bowl.
Shield	Shifting circular energy field appearing in front of the Netrunner.

