Altération (Sith)	* [Rafale de haine;Toile du Coté Obscur]
Contrôle et Altération (Sith)	*	[Aura d'anxiété;Manipulation Electronique;Vagues de ténèbres]
Sens et Altération (Sith)	*	[Vents de Force]
Contrôle, Sens et Altération (Sith)	*	[Absorber la vie;Effacer la mémoire]
Contrôle (Jedi)	*	[Rage;Retirer la fatigue]
Sens (Jedi)	*	[Langage des bêtes;Réseau de vie;Sentir le potentiel de la Force;Sentir la voie;Troubler les Sens;Traduction;Sens météorologique;Prédire les catastrophes naturelles]
Contrôle et Altération (Jedi)	*	[Contrôler la respiration;Retirer la fatigue d’un autre]
Contrôle et Sens (Jedi)	*	[Lien de vie]
Contrôle, Sens et Altération (Jedi)	*	[Combat projeté;Créer des tempêtes de Force;Doppleganger (Sosie);Harmonie de la Force;Soutirer l’essence de la vie;Transférer de la vie]
Sens et Altération (Jedi)	*	[Affaiblir l’écran de Force>]
Pouvoir spécial de la Force (Jedi)	*	[Cri de Force]
